CountryName,CountryCode,RegionName,RegionCode,CityName,CityCode,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Brazil,BRA,Ceara,BR_CE,State government,STATE_GOV,20200101,0.00,,"https://coronavirus.ceara.gov.br/",0.00,,"https://coronavirus.ceara.gov.br/",0.00,,"https://coronavirus.ceara.gov.br/",0.00,,"https://coronavirus.ceara.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Ceara,BR_CE,Fortaleza,BR_2304400,20200101,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Goias,BR_GO,State government,STATE_GOV,20200101,0.00,,"https://www.saude.go.gov.br/coronavirus",0.00,,"https://www.saude.go.gov.br/coronavirus",0.00,,"https://www.saude.go.gov.br/coronavirus",0.00,,"https://www.saude.go.gov.br/coronavirus",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Goias,BR_GO,Goiania,BR_5208707,20200101,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Amazonas,BR_AM,State government,STATE_GOV,20200101,0.00,,"http://coronavirus.amazonas.am.gov.br/",0.00,,"http://coronavirus.amazonas.am.gov.br/",0.00,,"http://coronavirus.amazonas.am.gov.br/",0.00,,"http://coronavirus.amazonas.am.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Amazonas,BR_AM,Manaus,BR_1302603,20200101,0.00,,"http://dom.manaus.am.gov.br/",0.00,,"http://dom.manaus.am.gov.br/",0.00,,"http://dom.manaus.am.gov.br/",0.00,,"http://dom.manaus.am.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Bahia,BR_BA,State government,STATE_GOV,20200101,0.00,,"http://www.saude.ba.gov.br/temasdesaude/coronavirus/",0.00,,"http://www.saude.ba.gov.br/temasdesaude/coronavirus/",0.00,,"http://www.saude.ba.gov.br/temasdesaude/coronavirus/",0.00,,"http://www.saude.ba.gov.br/temasdesaude/coronavirus/",0.00,,,0.00,,,0.00,,,0.00,"The State Government tried to implement screening at the airports, but was forbidden to do so by the Judiciary Branch, since this is attribution of the Federal Government:    https://web.archive.org/web/20200507155012/http://portal.anvisa.gov.br/noticias/-/asset_publisher/FXrpx9qY7FbU/content/stf-confirma-controle-sanitario-da-anvisa-em-aeroportos/219201/pop_up?_101_INSTANCE_FXrpx9qY7FbU_viewMode=print&_101_INSTANCE_FXrpx9qY7FbU_languageId=en_US",,,,,,,,,,0.00,,"No specific guidance or information to the general public related to coronvirus by the Governor or other state authorities were found before 29/01. This search covered the official state's websites and facebook pages.",,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Bahia,BR_BA,Salvador,BR_2927408,20200101,0.00,,"http://www.dom.salvador.ba.gov.br/",0.00,,"http://www.dom.salvador.ba.gov.br/",0.00,,"http://www.dom.salvador.ba.gov.br/",0.00,,"http://www.dom.salvador.ba.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Sao Paulo,BR_SP,State government,STATE_GOV,20200101,0.00,,"https://www.saopaulo.sp.gov.br/spnoticias/decretos-do-governo-de-sp-com-medidas-de-prevencao-e-combate-ao-novo-coronavirus/",0.00,,"https://www.saopaulo.sp.gov.br/spnoticias/decretos-do-governo-de-sp-com-medidas-de-prevencao-e-combate-ao-novo-coronavirus/",0.00,,"https://www.saopaulo.sp.gov.br/spnoticias/decretos-do-governo-de-sp-com-medidas-de-prevencao-e-combate-ao-novo-coronavirus/",0.00,,"https://www.saopaulo.sp.gov.br/spnoticias/decretos-do-governo-de-sp-com-medidas-de-prevencao-e-combate-ao-novo-coronavirus/",0.00,,,0.00,,,0.00,,,0.00,"As this is not attribution of the state, as there were no news about anything like that on the state hotsite focused on COVID-19 and as there were no hits on google with related key words, it is safe to assume that the state did not undertake any measures in this regard.  State official news articles:  https://www.saopaulo.sp.gov.br/noticias-coronavirus/?utm_source=hotsite&utm_medium=hotsite-coronavirus&utm_campaign=noticias-coronavirus",,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Sao Paulo,BR_SP,Sao Paulo,BR_3550308,20200101,0.00,,"http://legislacao.prefeitura.sp.gov.br/",0.00,,"http://legislacao.prefeitura.sp.gov.br/",0.00,,"http://legislacao.prefeitura.sp.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,0.00,"As this is not attribution of the municipality, as there were no news about anything like that on the municipality hotsite focused on COVID-19 and as there were no hits on google with related key words, it is safe to assume the municipality did not undertake any measures in this regard.    Prefecture's list of coronavirus related news articles:   http://www.capital.sp.gov.br/noticia/coronavirus-confira-as-principais-noticias-publicadas-no-site-da-prefeitura",,,,,,,,,,0.00,,"First register of orientations provided by the prefecture, on 12/03:  https://web.archive.org/web/20200506231018/http://www.capital.sp.gov.br/noticia/coronavirus-quando-devo-procurar-um-posto-de-saude",0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
